dataset_name,anomaly_type,row_index,column,old_value,new_value
integrity_dataset.csv,integrity,25257,tcp.window_size_value,512,1141
integrity_dataset.csv,integrity,1492,mqtt.kalive,0.0,435.0
integrity_dataset.csv,integrity,4737,tcp.window_size_value,512,1410
integrity_dataset.csv,integrity,5322,tcp.checksum,0x00001115,0x00001115_CORRUPTED
integrity_dataset.csv,integrity,18857,tcp.len,12,1003
availability_dataset.csv,availability,23618,row_deleted,row_exists,row_removed
availability_dataset.csv,availability,3547,row_deleted,row_exists,row_removed
availability_dataset.csv,availability,17228,row_deleted,row_exists,row_removed
availability_dataset.csv,availability,19416,row_deleted,row_exists,row_removed
availability_dataset.csv,availability,10350,row_deleted,row_exists,row_removed
